St.no;Year;Mnth;Date;Time(NMT);TA
68860;2010;1;24;2;-3.6
68860;2010;1;24;3;-3.7
68860;2010;1;24;4;-4.1
68860;2010;1;24;5;-4.7
68860;2010;1;24;6;-4.3
68860;2010;1;24;7;-6.0
68860;2010;1;24;8;-4.8
68860;2010;1;24;9;-5.4
68860;2010;1;24;10;-4.9
68860;2010;1;24;11;-5.1
68860;2010;1;24;12;-4.1
68860;2010;1;24;13;-3.5
68860;2010;1;24;14;-3.0
68860;2010;1;24;15;-2.9
68860;2010;1;24;16;-3.0
68860;2010;1;24;17;-2.7
68860;2010;1;24;18;-2.8
68860;2010;1;24;19;-2.4
68860;2010;1;24;20;-2.4
68860;2010;1;24;21;-2.5
68860;2010;1;24;22;-1.5
68860;2010;1;24;23;-1.6
68860;2010;1;24;24;-1.4
68860;2010;1;25;1;-1.3
68860;2010;1;25;2;-0.8
68860;2010;1;25;3;-0.4
68860;2010;1;25;4;0.0
68860;2010;1;25;5;0.4
68860;2010;1;25;6;0.4
68860;2010;1;25;7;0.8
68860;2010;1;25;8;1.4
68860;2010;1;25;9;1.2
68860;2010;1;25;10;1.5
68860;2010;1;25;11;1.6
68860;2010;1;25;12;1.8
68860;2010;1;25;13;2.2
68860;2010;1;25;14;2.2
68860;2010;1;25;15;2.3
68860;2010;1;25;16;2.2
68860;2010;1;25;17;2.2
68860;2010;1;25;18;2.0
68860;2010;1;25;19;2.0
68860;2010;1;25;20;2.2
68860;2010;1;25;21;2.5
68860;2010;1;25;22;1.6
68860;2010;1;25;23;1.0
68860;2010;1;25;24;2.5
68860;2010;1;26;1;0.3
68860;2010;1;26;2;0.1
68860;2010;1;26;3;-0.3
68860;2010;1;26;4;-0.8
68860;2010;1;26;5;-1.8
68860;2010;1;26;6;-1.0
68860;2010;1;26;7;-0.8
68860;2010;1;26;8;-1.9
68860;2010;1;26;9;-1.7
68860;2010;1;26;10;-1.0
68860;2010;1;26;11;-0.2
68860;2010;1;26;12;-0.8
68860;2010;1;26;13;0.2
68860;2010;1;26;14;0.0
68860;2010;1;26;15;0.3
68860;2010;1;26;16;0.3
68860;2010;1;26;17;-0.2
68860;2010;1;26;18;-0.3
68860;2010;1;26;19;-0.6
68860;2010;1;26;20;0.9
68860;2010;1;26;21;1.4
68860;2010;1;26;22;1.6
68860;2010;1;26;23;2.0
68860;2010;1;26;24;2.0
68860;2010;1;27;1;2.4
68860;2010;1;27;2;2.4
68860;2010;1;27;3;3.3
68860;2010;1;27;4;2.0
68860;2010;1;27;5;1.7
68860;2010;1;27;6;1.7
68860;2010;1;27;7;2.0
68860;2010;1;27;8;2.6
68860;2010;1;27;9;3.6
68860;2010;1;27;10;3.3
68860;2010;1;27;11;2.4
68860;2010;1;27;12;2.9
68860;2010;1;27;13;3.0
68860;2010;1;27;14;3.3
68860;2010;1;27;15;2.2
68860;2010;1;27;16;0.8
68860;2010;1;27;17;0.2
68860;2010;1;27;18;0.1
68860;2010;1;27;19;-0.1
